仡,,013,,9,3,5,+28217+,/yi4,1キツ1ギツ1,
仟,,013,,9,3,5,+22240+,/qian1,1セン1かしら1,
代,,013,,9,3,5,+23240+,/dai4,1タイ1ダイ1かへる1(1かえる1)1かはる1(1かわる1)1しろ1よ1,
令(1),,013,,9,3,5,+80307+,/ling4,1レイ1リヤウ1(1リョウ1)1いひつけ1(1いいつけ1)1をさ1(1おさ1)1よい1,
令(2),,013,,9,3,5,+80307+,/ling2,1レイ1リヤウ1(1リョウ1)1しむ1,
以,,013,,9,3,5,+28100+,/yi3,1イ1もつて1(1もって1)1もちゐる1(1もちひる1もちいる1),
仟,千,030,052,9,3,5,+22240+,/qian1,1セン1ち1,
仰,,013,,9,4,6,+27220+,/yang3,1ギヤウ1(1ギョウ1)1カウ1(1コウ1)1あふぐ1(1あおぐ1)1おほせ1(1おおせ1),
仲,,013,,9,4,6,+25206+,/zhong4,1チユウ1(1チュウ1)1なか1,
仳,,013,,9,4,6,+21210+22210+,/pi3,1ヒ1,
仵,,013,,9,4,6,+28240+,/wu3,1ゴ1,
件,,013,,9,4,6,+25200+,/jian4,1ケン1くだり1くだん1ことがら1,
价,,014,,9,4,6,+28220+,/jie4,1カイ1ケ1よい1,
任(1),,014,,9,4,6,+22214+,/ren2,1ジン1ニン1つとめ1,
任(2),,014,,9,4,6,+22214+,/ren4,1ジン1ニン1まかす1まかせる1,
份(1),分,014,039,9,4,6,+28227+,/fen4,1フン1ブン1,
份(2),彬,030,159,9,4,6,+28227+,/fen4,1フン1ブン1,
仿,,014,,9,4,6,+20227+,/fang3,1ハウ1(1ホウ1)1バウ1(1ボウ1),
企,,014,,9,4,6,+80101+,/qi4,1キ1くはだてる1(1くわだてる1)1たくらむ1,
伈,,014,,9,4,6,+23200+,/xin3,1シン1,
伉,,014,,9,4,6,+20217+,/kang4,1カウ1コウ1たぐひ1(1たぐい1)1ならぶ1,
伊,,014,,9,4,6,+27257+,/yi1,1イ1かれ1これ1ただ1,
伍,,014,,9,4,6,+21217+,/wu3,1ゴ1グ1いつつ1くみ1,
伋,,014,,9,4,6,+27247+,/ji2,1キフ1(1キュウ1),
伎,,014,,9,4,6,+24247+,/ji4,1キ1ギ1たくみ1わざ1,
伏,,014,,9,4,6,+23234+,/fu2,1フク1ブク1かくれる1したがふ1(1したがう1)1ふす1ふせる1,
伐,,014,,9,4,6,+23250+,/fa1,1バツ1うつ1きる1ほこる1,
休,,015,,9,4,6,+24290+,/xiu1,1キウ1(1キュウ1)1ク1いこふ1(1いこう1)1さいはひ1さいわい1やめる1やすむ1やすめる1なかれ1よい1や1,
伙,,015,,9,4,6,+29280+,/huo3,1クワ1(1カ1),
仿,彷,,160,9,4,6,+20227+,/fang3,1ハウ1(1ホウ1),
会(1),會,,230,9,4,6,+80731+,/hui4,1クワイ1(1カイ1)1ヱ1(1エ1)1あふ1(1あう1)1あつまる1あつめる1たまたま1かならず1,
会(2),會,,230,9,4,6,+80731+,/kuai4,1クワイ1(1カイ1)1ヱ1(1エ1),
伞,傘,,025,9,4,6,+80409+,/san3,1サン1かさ1,
众,眾,,360,9,4,6,+80880+,/zhong4,1シユウ1(1シュウ1)1シユ1(1シュ1)1おほい1(1おおい1),
伃,妤,030,107,9,4,6,+27222+,/yu2,1ヨ1,
伕,夫,030,102,9,4,6,+25230+,/fu1,1フ1をつと1(1おっと1)1をとこ1(1おとこ1),
